Timestamp,Device_Side,Device_Address,Sensor_Timestamp_ms,Serial_Number,Packet_Number,Sensor_Type,W,X,Y,Z
2026-05-26 11:39:23.368,Right,D0:A3:43:7D:01:BD,1779770337500,292,0,ACC,,0.0391,-0.251,-0.9619
2026-05-26 11:39:23.369,Right,D0:A3:43:7D:01:BD,1779770337500,292,0,GYRO,,273.4985,292.4805,16.7847
2026-05-26 11:39:23.369,Right,D0:A3:43:7D:01:BD,1779770337500,292,0,QUAT,-0.3528,-0.2976,-0.1565,-0.1117
2026-05-26 11:39:23.369,Right,D0:A3:43:7D:01:BD,1779770337514,292,1,ACC,,0.1816,-0.314,-1.5044
2026-05-26 11:39:23.371,Right,D0:A3:43:7D:01:BD,1779770337514,292,1,GYRO,,338.8062,341.1865,15.5029
2026-05-26 11:39:23.372,Right,D0:A3:43:7D:01:BD,1779770337514,292,1,QUAT,-0.3501,-0.3054,-0.1524,-0.1044
2026-05-26 11:39:23.374,Right,D0:A3:43:7D:01:BD,1779770337524,292,2,ACC,,0.1709,-0.2534,-2.1323
2026-05-26 11:39:23.374,Right,D0:A3:43:7D:01:BD,1779770337524,292,2,GYRO,,391.2354,333.8623,15.0146
2026-05-26 11:39:23.375,Right,D0:A3:43:7D:01:BD,1779770337524,292,2,QUAT,-0.3478,-0.3131,-0.1473,-0.0964
2026-05-26 11:39:23.376,Right,D0:A3:43:7D:01:BD,1779770337529,292,3,ACC,,0.5669,-0.1553,-2.8193
2026-05-26 11:39:23.377,Right,D0:A3:43:7D:01:BD,1779770337529,292,3,GYRO,,392.334,272.583,20.1416
2026-05-26 11:39:23.378,Right,D0:A3:43:7D:01:BD,1779770337529,292,3,QUAT,-0.3462,-0.3196,-0.1417,-0.0888
2026-05-26 11:39:23.383,Left,F4:1B:9B:AF:20:5D,1779770344226,299,0,ACC,,0.7798,-0.0103,1.6958
2026-05-26 11:39:23.383,Left,F4:1B:9B:AF:20:5D,1779770344226,299,0,GYRO,,-522.1558,325.8667,135.498
2026-05-26 11:39:23.384,Left,F4:1B:9B:AF:20:5D,1779770344226,299,0,QUAT,-0.4081,0.0018,-0.0521,0.2841
2026-05-26 11:39:23.384,Left,F4:1B:9B:AF:20:5D,1779770344240,299,1,ACC,,0.8955,-0.5684,2.6455
2026-05-26 11:39:23.385,Left,F4:1B:9B:AF:20:5D,1779770344240,299,1,GYRO,,-533.3252,318.6646,123.6572
2026-05-26 11:39:23.385,Left,F4:1B:9B:AF:20:5D,1779770344240,299,1,QUAT,-0.4083,-0.0119,-0.0583,0.2824
2026-05-26 11:39:23.386,Left,F4:1B:9B:AF:20:5D,1779770344250,299,2,ACC,,0.6299,-0.9712,3.0684
2026-05-26 11:39:23.386,Left,F4:1B:9B:AF:20:5D,1779770344250,299,2,GYRO,,-454.9561,296.875,69.0918
2026-05-26 11:39:23.387,Left,F4:1B:9B:AF:20:5D,1779770344250,299,2,QUAT,-0.4076,-0.0241,-0.0633,0.2815
2026-05-26 11:39:23.387,Left,F4:1B:9B:AF:20:5D,1779770344255,299,3,ACC,,0.126,-1.6558,2.0083
2026-05-26 11:39:23.389,Left,F4:1B:9B:AF:20:5D,1779770344255,299,3,GYRO,,-346.4355,292.6025,17.0898
2026-05-26 11:39:23.389,Left,F4:1B:9B:AF:20:5D,1779770344255,299,3,QUAT,-0.4063,-0.0347,-0.0662,0.2816
2026-05-26 11:39:23.390,Right,D0:A3:43:7D:01:BD,1779770337519,293,0,ACC,,0.5361,-0.2808,-2.4653
2026-05-26 11:39:23.391,Right,D0:A3:43:7D:01:BD,1779770337519,293,0,GYRO,,330.2002,227.8442,7.4463
2026-05-26 11:39:23.391,Right,D0:A3:43:7D:01:BD,1779770337519,293,0,QUAT,-0.3447,-0.325,-0.1371,-0.0822
2026-05-26 11:39:23.392,Right,D0:A3:43:7D:01:BD,1779770337533,293,1,ACC,,0.4023,-0.5693,-1.9653
2026-05-26 11:39:23.393,Right,D0:A3:43:7D:01:BD,1779770337533,293,1,GYRO,,249.2065,207.3364,-11.2305
2026-05-26 11:39:23.393,Right,D0:A3:43:7D:01:BD,1779770337533,293,1,QUAT,-0.343,-0.3293,-0.134,-0.0767
2026-05-26 11:39:23.393,Right,D0:A3:43:7D:01:BD,1779770337543,293,2,ACC,,0.4126,-0.8115,-1.6147
2026-05-26 11:39:23.393,Right,D0:A3:43:7D:01:BD,1779770337543,293,2,GYRO,,184.9976,197.0825,-7.2632
2026-05-26 11:39:23.394,Right,D0:A3:43:7D:01:BD,1779770337543,293,2,QUAT,-0.341,-0.3333,-0.1319,-0.0723
2026-05-26 11:39:23.394,Right,D0:A3:43:7D:01:BD,1779770337548,293,3,ACC,,0.4941,-0.7939,-1.5254
2026-05-26 11:39:23.395,Right,D0:A3:43:7D:01:BD,1779770337548,293,3,GYRO,,141.0522,180.7251,10.0098
2026-05-26 11:39:23.395,Right,D0:A3:43:7D:01:BD,1779770337548,293,3,QUAT,-0.3388,-0.3369,-0.1302,-0.069
2026-05-26 11:39:23.404,Left,F4:1B:9B:AF:20:5D,1779770344246,300,0,ACC,,-0.3364,-1.3984,1.9814
2026-05-26 11:39:23.405,Left,F4:1B:9B:AF:20:5D,1779770344246,300,0,GYRO,,-255.6152,302.6733,26.8555
2026-05-26 11:39:23.405,Left,F4:1B:9B:AF:20:5D,1779770344246,300,0,QUAT,-0.4053,-0.0443,-0.0671,0.2815
2026-05-26 11:39:23.406,Left,F4:1B:9B:AF:20:5D,1779770344260,300,1,ACC,,-0.5054,-1.5908,2.0537
2026-05-26 11:39:23.406,Left,F4:1B:9B:AF:20:5D,1779770344260,300,1,GYRO,,-157.7148,322.3877,83.313
2026-05-26 11:39:23.407,Left,F4:1B:9B:AF:20:5D,1779770344260,300,1,QUAT,-0.4051,-0.0531,-0.0657,0.2805
2026-05-26 11:39:23.407,Left,F4:1B:9B:AF:20:5D,1779770344270,300,2,ACC,,-0.4541,-1.8765,2.0615
2026-05-26 11:39:23.407,Left,F4:1B:9B:AF:20:5D,1779770344270,300,2,GYRO,,-42.9077,318.1763,139.3433
2026-05-26 11:39:23.408,Left,F4:1B:9B:AF:20:5D,1779770344270,300,2,QUAT,-0.406,-0.0605,-0.062,0.2787
2026-05-26 11:39:23.408,Left,F4:1B:9B:AF:20:5D,1779770344275,300,3,ACC,,-0.3584,-1.8394,1.6494
2026-05-26 11:39:23.408,Left,F4:1B:9B:AF:20:5D,1779770344275,300,3,GYRO,,62.0728,266.4185,167.1143
2026-05-26 11:39:23.408,Left,F4:1B:9B:AF:20:5D,1779770344275,300,3,QUAT,-0.4076,-0.0655,-0.0569,0.2763
2026-05-26 11:39:23.420,Left,F4:1B:9B:AF:20:5D,1779770344265,301,0,ACC,,-0.1826,-1.2441,0.8413
2026-05-26 11:39:23.420,Left,F4:1B:9B:AF:20:5D,1779770344265,301,0,GYRO,,144.2871,129.3335,158.9355
2026-05-26 11:39:23.420,Left,F4:1B:9B:AF:20:5D,1779770344265,301,0,QUAT,-0.4115,-0.0692,-0.0465,0.2715
2026-05-26 11:39:23.421,Left,F4:1B:9B:AF:20:5D,1779770344279,301,1,ACC,,-0.0747,-0.9639,0.8149
2026-05-26 11:39:23.421,Left,F4:1B:9B:AF:20:5D,1779770344279,301,1,GYRO,,140.8081,99.1821,141.6016
2026-05-26 11:39:23.421,Left,F4:1B:9B:AF:20:5D,1779770344279,301,1,QUAT,-0.4132,-0.0698,-0.0421,0.2694
2026-05-26 11:39:23.422,Left,F4:1B:9B:AF:20:5D,1779770344289,301,2,ACC,,0.04,-0.6768,1.0288
2026-05-26 11:39:23.422,Left,F4:1B:9B:AF:20:5D,1779770344289,301,2,GYRO,,137.9395,107.9712,112.4268
2026-05-26 11:39:23.423,Left,F4:1B:9B:AF:20:5D,1779770344289,301,2,QUAT,-0.4146,-0.0704,-0.0378,0.2678
2026-05-26 11:39:23.423,Left,F4:1B:9B:AF:20:5D,1779770344294,301,3,ACC,,0.0532,-0.377,1.335
2026-05-26 11:39:23.423,Left,F4:1B:9B:AF:20:5D,1779770344294,301,3,GYRO,,141.5405,150.7568,65.1855
2026-05-26 11:39:23.424,Left,F4:1B:9B:AF:20:5D,1779770344294,301,3,QUAT,-0.4151,-0.0715,-0.0328,0.2673
2026-05-26 11:39:23.443,Left,F4:1B:9B:AF:20:5D,1779770344285,302,0,ACC,,-0.1494,-0.1689,1.5015
2026-05-26 11:39:23.443,Left,F4:1B:9B:AF:20:5D,1779770344285,302,0,GYRO,,142.2119,192.2607,9.2773
2026-05-26 11:39:23.443,Left,F4:1B:9B:AF:20:5D,1779770344285,302,0,QUAT,-0.4148,-0.0734,-0.0274,0.2679
2026-05-26 11:39:23.444,Left,F4:1B:9B:AF:20:5D,1779770344299,302,1,ACC,,-0.4702,-0.1064,1.4541
2026-05-26 11:39:23.444,Left,F4:1B:9B:AF:20:5D,1779770344299,302,1,GYRO,,131.7139,187.561,-26.6113
2026-05-26 11:39:23.445,Left,F4:1B:9B:AF:20:5D,1779770344299,302,1,QUAT,-0.414,-0.0754,-0.0223,0.2691
2026-05-26 11:39:23.447,Left,F4:1B:9B:AF:20:5D,1779770344309,302,2,ACC,,-0.6172,-0.1626,1.2207
