Timestamp,Device_Side,Device_Address,Sensor_Timestamp_ms,Serial_Number,Packet_Number,Sensor_Type,W,X,Y,Z
2026-05-26 11:04:49.312,Left,F4:1B:9B:AF:20:5D,1779768273101,825,0,ACC,,-0.4326,-0.4009,0.543
2026-05-26 11:04:49.314,Left,F4:1B:9B:AF:20:5D,1779768273101,825,0,GYRO,,-314.6973,-183.2275,-103.8208
2026-05-26 11:04:49.315,Left,F4:1B:9B:AF:20:5D,1779768273101,825,0,QUAT,-0.3261,-0.2345,-0.2891,-0.0711
2026-05-26 11:04:49.317,Left,F4:1B:9B:AF:20:5D,1779768273115,825,1,ACC,,-0.5718,-0.4229,0.6797
2026-05-26 11:04:49.318,Left,F4:1B:9B:AF:20:5D,1779768273115,825,1,GYRO,,-281.7993,-188.1714,-116.8213
2026-05-26 11:04:49.319,Left,F4:1B:9B:AF:20:5D,1779768273115,825,1,QUAT,-0.3247,-0.2289,-0.2941,-0.0751
2026-05-26 11:04:49.321,Left,F4:1B:9B:AF:20:5D,1779768273125,825,2,ACC,,-0.6274,-0.4521,0.7637
2026-05-26 11:04:49.323,Left,F4:1B:9B:AF:20:5D,1779768273125,825,2,GYRO,,-241.7603,-190.8569,-127.7466
2026-05-26 11:04:49.325,Left,F4:1B:9B:AF:20:5D,1779768273125,825,2,QUAT,-0.3239,-0.2231,-0.2985,-0.0785
2026-05-26 11:04:49.326,Left,F4:1B:9B:AF:20:5D,1779768273130,825,3,ACC,,-0.6899,-0.4619,0.8467
2026-05-26 11:04:49.327,Left,F4:1B:9B:AF:20:5D,1779768273130,825,3,GYRO,,-196.5942,-195.0073,-129.9438
2026-05-26 11:04:49.329,Left,F4:1B:9B:AF:20:5D,1779768273130,825,3,QUAT,-0.3237,-0.2174,-0.3022,-0.0814
2026-05-26 11:04:49.331,Left,F4:1B:9B:AF:20:5D,1779768273121,826,0,ACC,,-0.7549,-0.4751,0.8936
2026-05-26 11:04:49.333,Left,F4:1B:9B:AF:20:5D,1779768273121,826,0,GYRO,,-151.5503,-196.4111,-126.77
2026-05-26 11:04:49.334,Left,F4:1B:9B:AF:20:5D,1779768273121,826,0,QUAT,-0.3241,-0.2119,-0.305,-0.0839
2026-05-26 11:04:49.336,Left,F4:1B:9B:AF:20:5D,1779768273135,826,1,ACC,,-0.8179,-0.4824,0.9268
2026-05-26 11:04:49.337,Left,F4:1B:9B:AF:20:5D,1779768273135,826,1,GYRO,,-109.1309,-193.2983,-122.3755
2026-05-26 11:04:49.338,Left,F4:1B:9B:AF:20:5D,1779768273135,826,1,QUAT,-0.325,-0.2066,-0.3071,-0.086
2026-05-26 11:04:49.342,Left,F4:1B:9B:AF:20:5D,1779768273145,826,2,ACC,,-0.8589,-0.5166,0.9609
2026-05-26 11:04:49.343,Left,F4:1B:9B:AF:20:5D,1779768273145,826,2,GYRO,,-68.9697,-185.6689,-117.4316
2026-05-26 11:04:49.344,Left,F4:1B:9B:AF:20:5D,1779768273145,826,2,QUAT,-0.3264,-0.2016,-0.3085,-0.0876
2026-05-26 11:04:49.345,Left,F4:1B:9B:AF:20:5D,1779768273150,826,3,ACC,,-0.8755,-0.5488,0.9541
2026-05-26 11:04:49.346,Left,F4:1B:9B:AF:20:5D,1779768273150,826,3,GYRO,,-31.5552,-173.2788,-112.1216
2026-05-26 11:04:49.348,Left,F4:1B:9B:AF:20:5D,1779768273150,826,3,QUAT,-0.3281,-0.1971,-0.3092,-0.0887
2026-05-26 11:04:49.351,Left,F4:1B:9B:AF:20:5D,1779768273140,827,0,ACC,,-0.8579,-0.6118,0.9463
2026-05-26 11:04:49.352,Left,F4:1B:9B:AF:20:5D,1779768273140,827,0,GYRO,,1.4038,-154.48,-107.4829
2026-05-26 11:04:49.352,Left,F4:1B:9B:AF:20:5D,1779768273140,827,0,QUAT,-0.3301,-0.193,-0.3095,-0.0893
2026-05-26 11:04:49.353,Left,F4:1B:9B:AF:20:5D,1779768273154,827,1,ACC,,-0.8584,-0.6777,0.9492
2026-05-26 11:04:49.354,Left,F4:1B:9B:AF:20:5D,1779768273154,827,1,GYRO,,29.48,-127.4414,-105.1636
2026-05-26 11:04:49.355,Left,F4:1B:9B:AF:20:5D,1779768273154,827,1,QUAT,-0.3322,-0.1895,-0.3094,-0.0893
2026-05-26 11:04:49.357,Left,F4:1B:9B:AF:20:5D,1779768273164,827,2,ACC,,-0.8442,-0.7754,0.9492
2026-05-26 11:04:49.357,Left,F4:1B:9B:AF:20:5D,1779768273164,827,2,GYRO,,53.2227,-92.8955,-106.5674
2026-05-26 11:04:49.358,Left,F4:1B:9B:AF:20:5D,1779768273164,827,2,QUAT,-0.3344,-0.1866,-0.3091,-0.0885
2026-05-26 11:04:49.360,Left,F4:1B:9B:AF:20:5D,1779768273169,827,3,ACC,,-0.8193,-0.7549,0.9961
2026-05-26 11:04:49.360,Left,F4:1B:9B:AF:20:5D,1779768273169,827,3,GYRO,,76.1108,-50.4761,-114.4409
2026-05-26 11:04:49.361,Left,F4:1B:9B:AF:20:5D,1779768273169,827,3,QUAT,-0.3365,-0.1844,-0.3086,-0.0868
2026-05-26 11:04:49.369,Left,F4:1B:9B:AF:20:5D,1779768273160,828,0,ACC,,-0.6709,-0.9316,0.8335
2026-05-26 11:04:49.371,Left,F4:1B:9B:AF:20:5D,1779768273160,828,0,GYRO,,101.5625,9.4604,-139.2822
2026-05-26 11:04:49.371,Left,F4:1B:9B:AF:20:5D,1779768273160,828,0,QUAT,-0.3386,-0.1828,-0.3081,-0.0835
2026-05-26 11:04:49.371,Left,F4:1B:9B:AF:20:5D,1779768273174,828,1,ACC,,-1.0615,-1.1997,0.9116
2026-05-26 11:04:49.372,Left,F4:1B:9B:AF:20:5D,1779768273174,828,1,GYRO,,99.2432,57.9834,-164.3677
2026-05-26 11:04:49.372,Left,F4:1B:9B:AF:20:5D,1779768273174,828,1,QUAT,-0.3403,-0.1817,-0.3081,-0.0791
2026-05-26 11:04:49.373,Left,F4:1B:9B:AF:20:5D,1779768273184,828,2,ACC,,-0.7896,-1.29,0.8989
2026-05-26 11:04:49.373,Left,F4:1B:9B:AF:20:5D,1779768273184,828,2,GYRO,,84.5337,66.04,-152.8931
2026-05-26 11:04:49.373,Left,F4:1B:9B:AF:20:5D,1779768273184,828,2,QUAT,-0.3416,-0.1807,-0.3082,-0.0748
2026-05-26 11:04:49.374,Left,F4:1B:9B:AF:20:5D,1779768273189,828,3,ACC,,-0.8228,-1.3833,0.9082
2026-05-26 11:04:49.374,Left,F4:1B:9B:AF:20:5D,1779768273189,828,3,GYRO,,77.5146,72.2656,-136.8408
2026-05-26 11:04:49.374,Left,F4:1B:9B:AF:20:5D,1779768273189,828,3,QUAT,-0.3427,-0.1801,-0.3083,-0.0708
2026-05-26 11:04:49.392,Left,F4:1B:9B:AF:20:5D,1779768273179,829,0,ACC,,-0.8164,-1.4683,0.8062
2026-05-26 11:04:49.393,Left,F4:1B:9B:AF:20:5D,1779768273179,829,0,GYRO,,76.5381,85.3271,-132.0801
2026-05-26 11:04:49.393,Left,F4:1B:9B:AF:20:5D,1779768273179,829,0,QUAT,-0.3436,-0.1797,-0.3085,-0.0667
2026-05-26 11:04:49.393,Left,F4:1B:9B:AF:20:5D,1779768273193,829,1,ACC,,-0.7339,-1.5732,0.7427
2026-05-26 11:04:49.394,Left,F4:1B:9B:AF:20:5D,1779768273193,829,1,GYRO,,73.4863,97.9004,-136.0474
2026-05-26 11:04:49.394,Left,F4:1B:9B:AF:20:5D,1779768273193,829,1,QUAT,-0.3444,-0.1795,-0.3087,-0.0623
2026-05-26 11:04:49.395,Left,F4:1B:9B:AF:20:5D,1779768273203,829,2,ACC,,-0.7437,-1.6729,0.6689
2026-05-26 11:04:49.396,Left,F4:1B:9B:AF:20:5D,1779768273203,829,2,GYRO,,67.0166,111.3892,-139.2822
2026-05-26 11:04:49.397,Left,F4:1B:9B:AF:20:5D,1779768273203,829,2,QUAT,-0.3449,-0.1794,-0.3091,-0.0577
2026-05-26 11:04:49.398,Left,F4:1B:9B:AF:20:5D,1779768273208,829,3,ACC,,-0.6113,-1.7061,0.4517
2026-05-26 11:04:49.398,Left,F4:1B:9B:AF:20:5D,1779768273208,829,3,GYRO,,57.4951,124.6948,-137.3291
2026-05-26 11:04:49.398,Left,F4:1B:9B:AF:20:5D,1779768273208,829,3,QUAT,-0.3451,-0.1795,-0.3096,-0.053
2026-05-26 11:04:49.398,Right,D0:A3:43:7D:01:BD,1779768266015,871,0,ACC,,0.0059,-0.4604,-0.2822
2026-05-26 11:04:49.399,Right,D0:A3:43:7D:01:BD,1779768266015,871,0,GYRO,,-78.6743,-53.4058,-303.9551
2026-05-26 11:04:49.399,Right,D0:A3:43:7D:01:BD,1779768266015,871,0,QUAT,-0.3373,-0.2583,0.2381,-0.113
2026-05-26 11:04:49.399,Right,D0:A3:43:7D:01:BD,1779768266029,871,1,ACC,,-0.0591,-0.5703,-0.2036
2026-05-26 11:04:49.399,Right,D0:A3:43:7D:01:BD,1779768266029,871,1,GYRO,,-75.8667,-46.0205,-283.4473
2026-05-26 11:04:49.400,Right,D0:A3:43:7D:01:BD,1779768266029,871,1,QUAT,-0.3402,-0.2604,0.2336,-0.1088
2026-05-26 11:04:49.401,Right,D0:A3:43:7D:01:BD,1779768266039,871,2,ACC,,-0.1738,-0.7012,-0.1025
2026-05-26 11:04:49.401,Right,D0:A3:43:7D:01:BD,1779768266039,871,2,GYRO,,-69.3359,-30.4565,-257.0801
2026-05-26 11:04:49.401,Right,D0:A3:43:7D:01:BD,1779768266039,871,2,QUAT,-0.3427,-0.2625,0.2293,-0.105
2026-05-26 11:04:49.401,Right,D0:A3:43:7D:01:BD,1779768266044,871,3,ACC,,-0.3335,-0.8687,0.0166
2026-05-26 11:04:49.402,Right,D0:A3:43:7D:01:BD,1779768266044,871,3,GYRO,,-57.7393,-7.2632,-222.3511
2026-05-26 11:04:49.402,Right,D0:A3:43:7D:01:BD,1779768266044,871,3,QUAT,-0.3446,-0.2645,0.2255,-0.102
2026-05-26 11:04:49.414,Right,D0:A3:43:7D:01:BD,1779768266035,872,0,ACC,,-0.4912,-1.0737,0.1997
2026-05-26 11:04:49.414,Right,D0:A3:43:7D:01:BD,1779768266035,872,0,GYRO,,-38.208,21.1792,-177.5513
2026-05-26 11:04:49.414,Right,D0:A3:43:7D:01:BD,1779768266035,872,0,QUAT,-0.3456,-0.2667,0.2225,-0.0997
2026-05-26 11:04:49.414,Right,D0:A3:43:7D:01:BD,1779768266049,872,1,ACC,,-0.6255,-1.2817,0.4482
2026-05-26 11:04:49.415,Right,D0:A3:43:7D:01:BD,1779768266049,872,1,GYRO,,-6.4087,52.5513,-122.6807
2026-05-26 11:04:49.415,Right,D0:A3:43:7D:01:BD,1779768266049,872,1,QUAT,-0.3456,-0.2688,0.2205,-0.0982
2026-05-26 11:04:49.417,Right,D0:A3:43:7D:01:BD,1779768266059,872,2,ACC,,-0.7314,-1.4673,0.6597
2026-05-26 11:04:49.418,Right,D0:A3:43:7D:01:BD,1779768266059,872,2,GYRO,,38.6963,79.895,-59.7534
2026-05-26 11:04:49.418,Right,D0:A3:43:7D:01:BD,1779768266059,872,2,QUAT,-0.3445,-0.271,0.2199,-0.0975
2026-05-26 11:04:49.419,Right,D0:A3:43:7D:01:BD,1779768266064,872,3,ACC,,-0.8193,-1.6182,0.7578
2026-05-26 11:04:49.419,Right,D0:A3:43:7D:01:BD,1779768266064,872,3,GYRO,,90.271,91.4307,7.9956
2026-05-26 11:04:49.420,Right,D0:A3:43:7D:01:BD,1779768266064,872,3,QUAT,-0.3423,-0.2728,0.221,-0.0974
2026-05-26 11:04:49.429,Right,D0:A3:43:7D:01:BD,1779768266054,873,0,ACC,,-0.8691,-1.7046,0.7305
2026-05-26 11:04:49.429,Right,D0:A3:43:7D:01:BD,1779768266054,873,0,GYRO,,135.3149,81.7871,77.4536
2026-05-26 11:04:49.429,Right,D0:A3:43:7D:01:BD,1779768266054,873,0,QUAT,-0.3395,-0.274,0.2238,-0.0977
2026-05-26 11:04:49.431,Right,D0:A3:43:7D:01:BD,1779768266068,873,1,ACC,,-0.8628,-1.6255,0.7402
2026-05-26 11:04:49.432,Right,D0:A3:43:7D:01:BD,1779768266068,873,1,GYRO,,166.3208,73.6694,144.043
2026-05-26 11:04:49.433,Right,D0:A3:43:7D:01:BD,1779768266068,873,1,QUAT,-0.3361,-0.2744,0.228,-0.0986
2026-05-26 11:04:49.434,Right,D0:A3:43:7D:01:BD,1779768266078,873,2,ACC,,-0.8354,-1.5132,0.6177
2026-05-26 11:04:49.434,Right,D0:A3:43:7D:01:BD,1779768266078,873,2,GYRO,,184.4482,97.229,201.2939
2026-05-26 11:04:49.435,Right,D0:A3:43:7D:01:BD,1779768266078,873,2,QUAT,-0.3318,-0.2747,0.2331,-0.1005
2026-05-26 11:04:49.435,Right,D0:A3:43:7D:01:BD,1779768266083,873,3,ACC,,-0.6743,-1.4507,0.4365
2026-05-26 11:04:49.437,Right,D0:A3:43:7D:01:BD,1779768266083,873,3,GYRO,,178.833,100.2808,247.0703
2026-05-26 11:04:49.437,Right,D0:A3:43:7D:01:BD,1779768266083,873,3,QUAT,-0.3273,-0.2744,0.2387,-0.1031
2026-05-26 11:04:49.439,Left,F4:1B:9B:AF:20:5D,1779768273199,830,0,ACC,,-0.6855,-1.8091,0.4595
2026-05-26 11:04:49.439,Left,F4:1B:9B:AF:20:5D,1779768273199,830,0,GYRO,,44.6167,136.9629,-133.2397
2026-05-26 11:04:49.439,Left,F4:1B:9B:AF:20:5D,1779768273199,830,0,QUAT,-0.345,-0.1798,-0.3104,-0.0483
2026-05-26 11:04:49.441,Left,F4:1B:9B:AF:20:5D,1779768273213,830,1,ACC,,-0.7915,-1.8975,0.4028
2026-05-26 11:04:49.441,Left,F4:1B:9B:AF:20:5D,1779768273213,830,1,GYRO,,32.2266,144.7144,-126.2817
2026-05-26 11:04:49.442,Left,F4:1B:9B:AF:20:5D,1779768273213,830,1,QUAT,-0.3445,-0.1802,-0.3112,-0.0437
2026-05-26 11:04:49.443,Left,F4:1B:9B:AF:20:5D,1779768273223,830,2,ACC,,-0.7607,-1.9546,0.2822
2026-05-26 11:04:49.443,Left,F4:1B:9B:AF:20:5D,1779768273223,830,2,GYRO,,26.9165,144.104,-109.8022
2026-05-26 11:04:49.444,Left,F4:1B:9B:AF:20:5D,1779768273223,830,2,QUAT,-0.344,-0.1809,-0.312,-0.0394
2026-05-26 11:04:49.444,Left,F4:1B:9B:AF:20:5D,1779768273228,830,3,ACC,,-0.6333,-1.9609,0.0845
2026-05-26 11:04:49.445,Left,F4:1B:9B:AF:20:5D,1779768273228,830,3,GYRO,,22.8882,136.1084,-93.2007
2026-05-26 11:04:49.446,Left,F4:1B:9B:AF:20:5D,1779768273228,830,3,QUAT,-0.3434,-0.1817,-0.3127,-0.0355
2026-05-26 11:04:49.447,Left,F4:1B:9B:AF:20:5D,1779768273218,831,0,ACC,,-0.6211,-2.0215,-0.0073
2026-05-26 11:04:49.447,Left,F4:1B:9B:AF:20:5D,1779768273218,831,0,GYRO,,13.855,130.3711,-84.3506
2026-05-26 11:04:49.447,Left,F4:1B:9B:AF:20:5D,1779768273218,831,0,QUAT,-0.3426,-0.1825,-0.3135,-0.0319
2026-05-26 11:04:49.447,Left,F4:1B:9B:AF:20:5D,1779768273232,831,1,ACC,,-0.6074,-2.0425,-0.0815
2026-05-26 11:04:49.449,Left,F4:1B:9B:AF:20:5D,1779768273232,831,1,GYRO,,3.9062,127.3804,-77.5146
2026-05-26 11:04:49.450,Left,F4:1B:9B:AF:20:5D,1779768273232,831,1,QUAT,-0.3416,-0.1833,-0.3144,-0.0286
2026-05-26 11:04:49.451,Left,F4:1B:9B:AF:20:5D,1779768273242,831,2,ACC,,-0.6367,-2.0513,-0.1157
2026-05-26 11:04:49.451,Left,F4:1B:9B:AF:20:5D,1779768273242,831,2,GYRO,,-2.0752,123.23,-67.0776
2026-05-26 11:04:49.452,Left,F4:1B:9B:AF:20:5D,1779768273242,831,2,QUAT,-0.3406,-0.1842,-0.3152,-0.0255
2026-05-26 11:04:49.453,Left,F4:1B:9B:AF:20:5D,1779768273247,831,3,ACC,,-0.6245,-2.0303,-0.1841
2026-05-26 11:04:49.454,Left,F4:1B:9B:AF:20:5D,1779768273247,831,3,GYRO,,-3.6621,116.0278,-52.4292
2026-05-26 11:04:49.455,Left,F4:1B:9B:AF:20:5D,1779768273247,831,3,QUAT,-0.3396,-0.1852,-0.3159,-0.0228
2026-05-26 11:04:49.455,Left,F4:1B:9B:AF:20:5D,1779768273238,832,0,ACC,,-0.6265,-2.0176,-0.1836
